paper_name,link,publication time,learned
Decentralized Low-Rank Fine-Tuning of Large Language Models,https://arxiv.org/abs/2501.15361,2025-01,No
Efficient Deployment of Large Language Models on Resource-constrained Devices (FedSpine),https://arxiv.org/abs/2501.02438,2025-01,No
Exploring Potential Prompt Injection Attacks in Federated Military LLMs and Their Mitigation,https://arxiv.org/abs/2501.18416,2025-01,No
Federated Fine-Tuning of LLMs: Framework Comparison and Research Directions,https://arxiv.org/abs/2501.04436,2025-01,No
Federated Sketching LoRA: A Flexible Framework for Heterogeneous Collaborative LLM Fine-Tuning,https://arxiv.org/abs/2501.19389,2025-01,No
"I Can't Share Code, but I need Translation -- An Empirical Study on Code Translation through Federated LLM",https://arxiv.org/abs/2501.05724,2025-01,No
Pilot: Building the Federated Multimodal Instruction Tuning Framework,https://arxiv.org/abs/2501.13985,2025-01,No
Privacy-Preserving Personalized Federated Prompt Learning for Multimodal Large Language Models,https://arxiv.org/abs/2501.13904,2025-01,No
A Robustness Optimization Framework for Federated LLMs,https://arxiv.org/abs/2502.11863,2025-02,No
Federated Fine-Tuning of Large Language Models: Kahneman-Tversky vs. Direct Preference Optimization,https://arxiv.org/abs/2502.14187,2025-02,No
FedP²EFT: Federated Learning to Personalize Parameter-Efficient Fine-Tuning for Large Language Models,https://arxiv.org/abs/2502.04387,2025-02,No
Mitigating Unintended Memorization with LoRA in Federated Learning for LLMs,https://arxiv.org/abs/2502.05087,2025-02,No
PPC-GPT: Federated Task-Specific Compression of Large Language Models via Pruning and Chain-of-Thought Distillation,https://arxiv.org/abs/2502.15857,2025-02,No
Responsible Federated LLMs via Safety Filtering and Data Redaction,https://arxiv.org/abs/2502.16691,2025-02,No
Robust Federated Finetuning of LLMs via Alternating Optimization of LoRA,https://arxiv.org/abs/2502.01755,2025-02,No
A Survey on Federated Fine-tuning of Large Language Models,https://arxiv.org/abs/2503.12016,2025-03,No
Efficient Federated Fine-Tuning of LLMs with Layer Dropout,https://arxiv.org/abs/2503.10217,2025-03,No
FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,https://arxiv.org/abs/2503.11880,2025-03,No
HLoRA: Efficient Federated Learning System for LLM Fine-Tuning,https://arxiv.org/abs/2503.00813,2025-03,No
Pluralistic Alignment in LLMs via Federated Learning,https://arxiv.org/abs/2503.09925,2025-03,No
PriFFT: Privacy-preserving Federated Fine-tuning of Large Language Models,https://arxiv.org/abs/2503.03146,2025-03,No
Research on Large Language Model Cross-Cloud Privacy Protection and Collaborative Training based on Federated Learning,https://arxiv.org/abs/2503.12226,2025-03,No
Resource-Efficient Federated Fine-Tuning Large Language Models for Heterogeneous Data (HierFedLoRA),https://arxiv.org/abs/2503.21213,2025-03,No
Efficient Federated Split Learning for Large Language Models over Communication Networks,https://arxiv.org/abs/2504.14667,2025-04,No
Federated Learning with Layer Skipping,https://arxiv.org/abs/2504.10536,2025-04,No
